window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
0,0,500,500,0.0,0.98989898989899,0.16498316498316498,0.98,,0.494949494949495,,,0.98,,0.98989898989899,0.0,,1.0,0.02,0.6224345657824488,False,warmup,0.046748644944052634,0.0,0,{},0,False,0.3493834277766399,0.0
1,500,1000,500,0.0,0.9949748743718593,0.1658291457286432,0.99,,0.49748743718592964,,,0.99,,0.9949748743718593,0.0,,1.0,0.01,0.6370681646641151,False,warmup,0.07237885745133749,0.0,0,{},0,False,0.3493834277766399,0.0
2,1000,1500,500,0.0,0.9816700610997964,0.16361167684996605,0.964,,0.3272233536999321,,,0.964,,0.9816700610997964,0.0,,1.0,0.036,0.6099131701383863,False,warmup,0.08726162086677208,0.0,0,{},0,False,0.3493834277766399,0.0
3,1500,2000,500,0.0,0.9868287740628167,0.16447146234380278,0.974,,0.32894292468760555,,,0.974,,0.9868287740628167,0.0,,1.0,0.026,0.6246598754664101,False,warmup,0.06783762391172649,0.0,0,{},0,False,0.3493834277766399,0.0
4,2000,2500,500,0.0,0.9858012170385395,0.16430020283975658,0.972,,0.32860040567951315,,,0.972,,0.9858012170385395,0.0,,1.0,0.028,0.6279118992528733,False,warmup,0.10056647627762491,0.0,0,{},0,False,0.3493834277766399,0.0
5,2500,3000,500,0.0,0.98989898989899,0.16498316498316498,0.98,,0.32996632996632996,,,0.98,,0.98989898989899,0.0,,1.0,0.02,0.621574289722053,False,warmup,0.07350499700545277,0.0,0,{},0,False,0.3493834277766399,0.0
6,3000,3500,500,0.0,0.9868287740628167,0.16447146234380278,0.974,,0.32894292468760555,,,0.974,,0.9868287740628167,0.0,,1.0,0.026,0.6278343970303033,False,warmup,0.03172378408634083,0.0,0,{},0,False,0.3493834277766399,0.0
7,3500,4000,500,0.0,0.982706002034588,0.16378433367243134,0.966,,0.3275686673448627,,,0.966,,0.982706002034588,0.0,,1.0,0.034,0.6135410208034359,False,warmup,0.11484819575370327,0.0,0,{},0,False,0.3493834277766399,0.0
8,4000,4500,500,0.0,0.9919354838709677,0.16532258064516128,0.984,,0.33064516129032256,,,0.984,,0.9919354838709677,0.0,,1.0,0.016,0.6473925488010449,False,warmup,0.07510703666506348,0.0,0,{},0,False,0.3493834277766399,0.0
9,4500,5000,500,0.0,0.982706002034588,0.16378433367243134,0.966,,0.3275686673448627,,,0.966,,0.982706002034588,0.0,,1.0,0.034,0.6173331766345173,False,warmup,0.05616646869270593,0.0,0,{},0,False,0.3493834277766399,0.0
10,5000,5500,500,0.0,0.9919354838709677,0.16532258064516128,0.984,,0.33064516129032256,,,0.984,,0.9919354838709677,0.0,,1.0,0.016,0.6338065941153127,False,warmup,0.06636426636122636,0.0,0,{},0,False,0.3493834277766399,0.0
11,5500,6000,500,0.0,0.9909182643794148,0.1651530440632358,0.982,,0.4954591321897074,,,0.982,,0.9909182643794148,0.0,,1.0,0.018,0.6416815744968131,False,warmup,0.06978526402580869,0.0,0,{},0,False,0.3493834277766399,0.0
12,6000,6500,500,0.0,0.9959839357429718,0.16599732262382863,0.992,,0.33199464524765726,,,0.992,,0.9959839357429718,0.0,,1.0,0.008,0.6319245936410188,False,warmup,0.06514161170502904,0.0,0,{},0,False,0.3493834277766399,0.0
13,6500,7000,500,0.0,0.9868287740628167,0.16447146234380278,0.974,,0.32894292468760555,,,0.974,,0.9868287740628167,0.0,,1.0,0.026,0.6191910088861337,False,warmup,0.05672969120022701,0.0,0,{},0,False,0.3493834277766399,0.0
