run_name,method,seed,selection,budget,update_rule,queried_label,queried_count,labels_queried_total
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,149,random_nested,200,source_anchored,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,23,random_nested,200,source_anchored,Benign,189,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,23,random_nested,200,source_anchored,DoS,1,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,23,random_nested,200,source_anchored,Exploits,7,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,23,random_nested,200,source_anchored,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,37,random_nested,200,source_anchored,Benign,189,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,37,random_nested,200,source_anchored,DoS,1,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,37,random_nested,200,source_anchored,Exploits,7,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,37,random_nested,200,source_anchored,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,53,random_nested,200,source_anchored,Benign,189,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,53,random_nested,200,source_anchored,DoS,1,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,53,random_nested,200,source_anchored,Exploits,7,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,53,random_nested,200,source_anchored,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,71,random_nested,200,source_anchored,Benign,189,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,71,random_nested,200,source_anchored,DoS,1,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,71,random_nested,200,source_anchored,Exploits,7,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,71,random_nested,200,source_anchored,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,83,random_nested,200,source_anchored,Benign,189,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,83,random_nested,200,source_anchored,DoS,1,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,83,random_nested,200,source_anchored,Exploits,7,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,83,random_nested,200,source_anchored,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,97,random_nested,200,source_anchored,Benign,189,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,97,random_nested,200,source_anchored,DoS,1,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,97,random_nested,200,source_anchored,Exploits,7,200
E23_UNSW_Reconnaissance_random_anchored_B200,unsw_reconnaissance_random_anchored_B200,97,random_nested,200,source_anchored,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_replay_B050,unsw_reconnaissance_random_replay_B050,109,random_nested,50,replay,Benign,47,50
