window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
0,0,500,500,0.0,0.7995198079231692,0.2665066026410564,0.666,,0.1998799519807923,,,0.666,,,,,0.7995198079231692,0.7995198079231692,0.032,,0.968,0.3119834710743802,0.37216707532791954,False,warmup,0.06735046096763593,0.032,0,{},0,False,0.5193428171074622,0.0
1,500,1000,500,0.0,0.8372093023255814,0.27906976744186046,0.72,,0.20930232558139536,,,0.72,,,,,0.8372093023255814,0.8372093023255814,0.042,,0.958,0.24843423799582465,0.4186233612331028,False,warmup,0.055153536380353425,0.042,0,{},0,False,0.5193428171074622,0.0
2,1000,1500,500,0.0,0.7515605493133583,0.25052018310445273,0.602,,0.18789013732833956,,,0.602,,,,,0.7515605493133583,0.7515605493133583,0.036,,0.964,0.3755186721991701,0.33030927960483625,False,warmup,0.09421652687679095,0.036,0,{},0,False,0.5193428171074622,0.0
3,1500,2000,500,0.0,0.8038277511961722,0.2679425837320574,0.672,,0.20095693779904306,,,0.672,,,,,0.8038277511961722,0.8038277511961722,0.022,,0.978,0.3128834355828221,0.3601549724497445,False,warmup,0.07090945491661528,0.022,0,{},0,False,0.5193428171074622,0.0
4,2000,2500,500,0.0,0.7908101571946796,0.2636033857315599,0.654,,0.1977025392986699,,,0.654,,,,,0.7908101571946796,0.7908101571946796,0.014,,0.986,0.3367139959432049,0.34858291245253126,False,warmup,0.09383615597998558,0.014,0,{},0,False,0.5193428171074622,0.0
5,2500,3000,500,0.0,0.8610478359908884,0.2870159453302961,0.756,,0.2152619589977221,,,0.756,,,,,0.8610478359908884,0.8610478359908884,0.034,,0.966,0.21739130434782608,0.4549802352302771,False,warmup,0.06305843714711504,0.034,0,{},0,False,0.5193428171074622,0.0
6,3000,3500,500,0.0,0.8584474885844748,0.2861491628614916,0.752,,0.2146118721461187,,,0.752,,,,,0.8584474885844748,0.8584474885844748,0.048,,0.952,0.21008403361344538,0.4642133548856864,False,warmup,0.10237996350216981,0.048,0,{},0,False,0.5193428171074622,0.0
7,3500,4000,500,0.0,0.88268156424581,0.29422718808193665,0.79,,0.2206703910614525,,,0.79,,,,,0.88268156424581,0.88268156424581,0.024,,0.976,0.19057377049180327,0.4808748669799133,False,warmup,0.09842252977621264,0.024,0,{},0,False,0.5193428171074622,0.0
8,4000,4500,500,0.0,0.7775061124694377,0.25916870415647925,0.636,,0.19437652811735942,,,0.636,,,,,0.7775061124694377,0.7775061124694377,0.044,,0.956,0.33472803347280333,0.3528491162444493,False,warmup,0.1332183348251399,0.044,0,{},0,False,0.5193428171074622,0.0
9,4500,5000,500,0.0,0.8801791713325868,0.2933930571108623,0.786,,0.2200447928331467,,,0.786,,,,,0.8801791713325868,0.8801791713325868,0.042,,0.958,0.17954070981210857,0.49100991487646417,False,warmup,0.07821792902313428,0.042,0,{},0,False,0.5193428171074622,0.0
10,5000,5500,500,0.0,0.8888888888888888,0.2962962962962963,0.8,,0.2222222222222222,,,0.8,,,,,0.8888888888888888,0.8888888888888888,0.056,,0.944,0.15254237288135594,0.48633910792247076,False,warmup,0.10025238012465944,0.056,0,{},0,False,0.5193428171074622,0.0
11,5500,6000,500,0.0,0.8492520138089759,0.28308400460299193,0.738,,0.21231300345224396,,,0.738,,,,,0.8492520138089759,0.8492520138089759,0.072,,0.928,0.20474137931034483,0.4660330017753949,False,warmup,0.10456366056372535,0.072,0,{},0,False,0.5193428171074622,0.0
12,6000,6500,500,0.0,0.8317757009345794,0.2772585669781931,0.712,,0.20794392523364486,,,0.712,,,,,0.8317757009345794,0.8317757009345794,0.068,,0.932,0.23605150214592274,0.4399230528768698,False,warmup,0.09100367161021439,0.068,0,{},0,False,0.5193428171074622,0.0
13,6500,7000,500,0.0,0.854524627720504,0.2848415425735013,0.746,,0.213631156930126,,,0.746,,,,,0.854524627720504,0.854524627720504,0.072,,0.928,0.1961206896551724,0.4542495515460925,False,warmup,0.10769948101531131,0.072,0,{},0,False,0.5193428171074622,0.0
14,7000,7500,500,0.0,0.8584474885844748,0.2861491628614916,0.752,,0.2146118721461187,,,0.752,,,,,0.8584474885844748,0.8584474885844748,0.038,,0.962,0.2182952182952183,0.45486854142551353,False,warmup,0.07983163075278854,0.038,0,{},0,False,0.5193428171074622,0.0
15,7500,8000,500,0.0,0.8331388564760793,0.2777129521586931,0.714,,0.20828471411901983,,,0.714,,,,,0.8331388564760793,0.8331388564760793,0.022,,0.978,0.26993865030674846,0.4118024671672744,False,warmup,0.08407075500665771,0.022,0,{},0,False,0.5193428171074622,0.0
16,8000,8500,500,0.0,0.8052568697729988,0.2684189565909996,0.674,,0.2013142174432497,,,0.674,,,,,0.8052568697729988,0.8052568697729988,0.058,,0.942,0.28450106157112526,0.3787913823772851,False,warmup,0.12234976270956607,0.058,0,{},0,False,0.5193428171074622,0.0
17,8500,9000,500,0.0,0.781973203410475,0.26065773447015833,0.642,,0.19549330085261876,,,0.642,,,,,0.781973203410475,0.781973203410475,0.028,,0.972,0.3395061728395062,0.3509686536765313,False,warmup,0.13835839196788063,0.028,0,{},0,False,0.5193428171074622,0.0
18,9000,9500,500,0.0,0.8425925925925926,0.28086419753086417,0.728,,0.21064814814814814,,,0.728,,,,,0.8425925925925926,0.8425925925925926,0.03,,0.97,0.24948453608247423,0.4195991100546306,False,warmup,0.07981250328315274,0.03,0,{},0,False,0.5193428171074622,0.0
19,9500,10000,500,0.0,0.817966903073286,0.272655634357762,0.692,,0.2044917257683215,,,0.692,,,,,0.817966903073286,0.817966903073286,0.032,,0.968,0.28512396694214875,0.3840998310366893,False,warmup,0.05258445842331467,0.032,0,{},0,False,0.5193428171074622,0.0
20,10000,10500,500,0.0,0.8385598141695703,0.2795199380565234,0.722,,0.20963995354239257,,,0.722,,,,,0.8385598141695703,0.8385598141695703,0.018,,0.982,0.26476578411405294,0.42113603528485344,False,warmup,0.06378482279330351,0.018,0,{},0,False,0.5193428171074622,0.0
21,10500,11000,500,0.0,0.8610478359908884,0.2870159453302961,0.756,,0.2152619589977221,,,0.756,,,,,0.8610478359908884,0.8610478359908884,0.016,,0.984,0.23170731707317074,0.4476795033207661,False,warmup,0.08155374661265694,0.016,0,{},0,False,0.5193428171074622,0.0
22,11000,11500,500,0.0,0.8412514484356894,0.28041714947856317,0.726,,0.21031286210892236,,,0.726,,,,,0.8412514484356894,0.8412514484356894,0.026,,0.974,0.2546201232032854,0.4207706744434711,False,warmup,0.10203816037677625,0.026,0,{},0,False,0.5193428171074622,0.0
23,11500,12000,500,0.0,0.8558352402745996,0.28527841342486654,0.748,,0.2139588100686499,,,0.748,,,,,0.8558352402745996,0.8558352402745996,0.032,,0.968,0.22727272727272727,0.4396386739611619,False,warmup,0.08982651610395256,0.032,0,{},0,False,0.5193428171074622,0.0
24,12000,12500,500,0.0,0.8649262202043133,0.2883087400681044,0.762,,0.21623155505107833,,,0.762,,,,,0.8649262202043133,0.8649262202043133,0.034,,0.966,0.2111801242236025,0.45494721841497865,False,warmup,0.10122085895833033,0.034,0,{},0,False,0.5193428171074622,0.0
25,12500,13000,500,0.0,0.8674971687429218,0.28916572291430725,0.766,,0.21687429218573046,,,0.766,,,,,0.8674971687429218,0.8674971687429218,0.01,,0.99,0.22626262626262628,0.45155586602274195,False,warmup,0.21211355390324432,0.01,0,{},0,False,0.5193428171074622,0.0
26,13000,13500,500,0.0,0.871331828442438,0.290443942814146,0.772,,0.2178329571106095,,,0.772,,,,,0.871331828442438,0.871331828442438,0.014,,0.986,0.21703853955375255,0.4497232563041649,False,warmup,0.10283904070501823,0.014,0,{},0,False,0.5193428171074622,0.0
27,13500,14000,500,0.0,0.8425925925925926,0.28086419753086417,0.728,,0.21064814814814814,,,0.728,,,,,0.8425925925925926,0.8425925925925926,0.034,,0.966,0.2463768115942029,0.42376328829608634,False,warmup,0.06613366400441842,0.034,0,{},0,False,0.5193428171074622,0.0
28,14000,14500,500,0.0,0.8331388564760793,0.2777129521586931,0.714,,0.20828471411901983,,,0.714,,,,,0.8331388564760793,0.8331388564760793,0.022,,0.978,0.26993865030674846,0.4089260270571906,False,warmup,0.062235652575139,0.022,0,{},0,False,0.5193428171074622,0.0
29,14500,15000,500,0.0,0.854524627720504,0.2848415425735013,0.746,,0.213631156930126,,,0.746,,,,,0.854524627720504,0.854524627720504,0.032,,0.968,0.22933884297520662,0.4291735464800442,False,warmup,0.07335221644564363,0.032,0,{},0,False,0.5193428171074622,0.0
30,15000,15500,500,0.0,0.7922705314009661,0.2640901771336554,0.656,,0.19806763285024154,,,0.656,,,,,0.7922705314009661,0.7922705314009661,0.036,,0.964,0.31950207468879666,0.3682160403524831,False,warmup,0.09243939005989978,0.036,0,{},0,False,0.5193428171074622,0.0
31,15500,16000,500,0.0,0.8649262202043133,0.2883087400681044,0.762,,0.21623155505107833,,,0.762,,,,,0.8649262202043133,0.8649262202043133,0.03,,0.97,0.21443298969072164,0.45833745985013663,False,warmup,0.07107089219445928,0.03,0,{},0,False,0.5193428171074622,0.0
32,16000,16500,500,0.0,0.8839285714285714,0.29464285714285715,0.792,,0.22098214285714285,,,0.792,,,,,0.8839285714285714,0.8839285714285714,0.018,,0.982,0.1934826883910387,0.478862182775025,False,warmup,0.11583412997377668,0.018,0,{},0,False,0.5193428171074622,0.0
33,16500,17000,500,0.0,0.7995198079231692,0.2665066026410564,0.666,,0.1998799519807923,,,0.666,,,,,0.7995198079231692,0.7995198079231692,0.044,,0.956,0.303347280334728,0.3892072516676862,False,warmup,0.12085585255632152,0.044,0,{},0,False,0.5193428171074622,0.0
