evaluation_window,start_row,stop_row,n_rows,known_classes_present,novel_classes_present,minimum_initial_known_class_count,non_normal_rows,support_eligible,labels_present,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece
0,0,5000,5000,2,0,0,420,True,Backdoor|Benign,0.722897543427471,0.160643898539438,0.6299906425452277,0.5114273598073109,0.18072438585686776,,,0.8986,,,,,0.722897543427471,0.722897543427471,0.059,,0.941,0.045058448459086076,0.5591001381767119
1,5000,10000,5000,2,0,0,621,True,Backdoor|Benign,0.6004816007698677,0.13344035572663726,0.5429284989587619,0.4746913802348765,0.17156617164853363,,,0.8578,,,,,0.6004816007698677,0.6004816007698677,0.051,,0.949,0.09610115911485774,0.5234782898713543
2,10000,15000,5000,2,0,0,676,True,Backdoor|Benign,0.5219242196222298,0.11598315991605107,0.49596650591989666,0.43185406818210753,0.14912120560635136,,,0.833,,,,,0.5219242196222298,0.5219242196222298,0.0482,,0.9518,0.12481613784408489,0.5130534691779508
3,15000,20000,5000,3,0,0,559,True,Backdoor|Benign|Exploits,0.3260666421651051,0.10868888072170171,0.3165249180230411,0.388605012883042,0.12227499081191442,,,0.8406,,,,,0.3260666421651051,0.3260666421651051,0.0382,,0.9618,0.1260137242669994,0.5048104238857609
4,20000,25000,5000,8,1,0,319,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.20757760440063638,0.184513426133899,0.2959216474697564,0.3369739170390891,0.14563825108993592,0.07792323121727082,0.453126206452799,0.9009100101112234,0.18181818181818182,0.0,0.18181818181818182,0.8181818181818182,0.1946978931094091,0.17800230688769944,0.06511627906976744,0.8181818181818182,0.9336,0.04562982005141388,0.5690431007533502
5,25000,30000,5000,6,1,0,236,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.21750439493416565,0.14500292995611044,0.19125384830674505,0.2970959454506842,0.11863876087318127,0.005926605822800493,0.24849923645363428,0.9113847396043601,0.0,0.0,0.0,1.0,0.10875219746708283,0.18643233851499913,0.051271699636657245,1.0,0.9492,0.048672566371681415,0.5769417506595209
6,30000,35000,5000,8,1,0,296,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,0.12225111038890694,0.10866765367902839,0.11995110544217687,0.32798320729608815,0.08890989846465959,0.011114335056658261,0.24409751991744252,0.9195355469545732,0.0,0.0,0.0,1.0,0.06112555519445347,0.10866765367902839,0.04053778773680994,1.0,0.9602,0.05977921266402833,0.5651292543764087
7,35000,40000,5000,6,1,0,285,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.18574143896282017,0.12382762597521345,0.17192661440680904,0.3115750186871315,0.1080764423250605,0.08963914087163813,0.6154963725199882,0.9157166123778502,0.4431818181818182,0.0,0.4431818181818182,0.5568181818181818,0.3144616285723192,0.1543949176072293,0.05618892508143322,0.5568181818181818,0.937,0.03991462113127001,0.5700991758203452
8,40000,45000,5000,7,1,0,316,True,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.13845503109676813,0.10768724640859743,0.1347749176527998,0.3176338165136609,0.08810774706157971,0.008336684218286254,0.3787434343434344,0.8927272727272727,0.02,0.0,0.02,0.98,0.07922751554838406,0.12114815220967211,0.053737373737373736,0.98,0.9466,0.06634270019015423,0.5574942280565972
9,45000,50000,5000,6,1,0,413,True,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,0.16051466726686173,0.10700977817790783,0.15547561950439648,0.24779781641972487,0.08755345487283367,0.45905855944507235,0.9154166656100301,0.9006524942117449,0.8634538152610441,0.0,0.8634538152610441,0.13654618473895583,0.5119842412639529,0.1375840005144529,0.06293411913281415,0.13654618473895583,0.8972,0.0461435577351761,0.5367969797442727
