metric,higher_is_better,analysis_family,contrast,contrast_definition,n_seeds,mean_difference,std_difference,paired_dz,median_difference,minimum_difference,maximum_difference,positive_seed_count,negative_seed_count,zero_seed_count,bootstrap_95_low,bootstrap_95_high,exact_sign_flip_p_raw,wilcoxon_p_raw,holm_p_within_metric_family,holm_p_within_metric_all,holm_p_across_all_tests
Recovery area,True,factorial_effects,Budget main: B200 minus B50,Mean(B200 across selection/update) minus mean(B50 across selection/update),10,0.24877342974842936,0.004362858272361252,57.02074516708722,0.24982441448408593,0.2426371610518092,0.25568883098377626,10,0,0,0.2462161033673042,0.2513504218805322,0.001953125,0.001953125,0.013671875,0.029296875,0.1171875
Recovery area,True,factorial_effects,Budget x update,Anchoring effect at B200 − anchoring effect at B50,10,-0.0005953833635786582,0.000749008256653402,-0.7948955946612046,-0.000499840704229329,-0.002213376701652725,0.0002985106327699216,2,8,0,-0.0010614409574304067,-0.00019074173755785628,0.025390625,0.02734375,0.0859375,0.107421875,0.55859375
Recovery area,True,factorial_effects,Selection main: random minus UD,Mean(random across budget/update) minus mean(UD across budget/update),10,0.2515037215870194,0.0063831382301600716,39.40126510165085,0.25091063287820153,0.24351291571391354,0.2608261944405169,10,0,0,0.247814292346407,0.25526214696883776,0.001953125,0.001953125,0.013671875,0.029296875,0.1171875
Recovery area,True,factorial_effects,Selection x budget,(random B200 − random B50) − (UD B200 − UD B50),10,-0.5025435109827602,0.012185262760986873,-41.241910071216196,-0.5029910015346364,-0.5188146174025362,-0.4877582483244182,0,10,0,-0.5097743788914191,-0.49549790766167945,0.001953125,0.001953125,0.013671875,0.029296875,0.1171875
Recovery area,True,factorial_effects,Selection x budget x update,Difference between the random and UD budget-by-update interactions,10,0.0011697681791677573,0.0011997672032677419,0.9749959625348336,0.0014663858034445199,-0.000650990622507619,0.0030428797103915217,8,2,0,0.0004602038220552329,0.0018684322808147254,0.021484375,0.02734375,0.0859375,0.107421875,0.494140625
Recovery area,True,factorial_effects,Selection x update,Anchoring effect under random − anchoring effect under UD,10,-8.251099341953505e-05,0.0006772404093518909,-0.12183412608012693,-0.00013181062471238902,-0.00157204359595714,0.0009236496626937596,4,6,0,-0.000504390816977654,0.00029643235608075723,0.7265625,0.76953125,0.7265625,0.79296875,1.0
Recovery area,True,factorial_effects,Update main: anchored minus naive,Mean(source-anchored) minus mean(naive replay),10,-0.00012902968564507678,0.00032410715556263576,-0.3981081053921408,-0.00012582241138137107,-0.0005996683208123743,0.00046258988595437867,2,8,0,-0.0003142560794695104,6.623171624214885e-05,0.240234375,0.193359375,0.48046875,0.720703125,1.0
Recovery area,True,simple_effects,At B200: random minus UD,"Random minus UD at budget 200, averaged across update rules",10,0.00023196609563926884,0.0008285446416900523,0.2799681320322198,0.00016057494823790153,-0.000897490491564179,0.0014188857392487542,6,4,0,-0.00024324434325428358,0.0007259182965214328,0.396484375,0.556640625,0.396484375,0.79296875,1.0
Recovery area,True,simple_effects,At B50: random minus UD,"Random minus UD at budget 50, averaged across update rules",10,0.5027754770783994,0.012451615774048566,40.37833211383498,0.5025005673510992,0.48739203987612273,0.520233503141785,10,0,0,0.4956346743649383,0.5101812535575843,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Recovery area,True,simple_effects,Within UD: B200 minus B50,Budget 200 minus budget 50 under uncertainty-diversity querying,10,0.5000451852398095,0.010353299377837077,48.298147961435134,0.5013199152514042,0.4865162852140182,0.5150961396850443,10,0,0,0.4940075124210389,0.5061495513302497,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Recovery area,True,simple_effects,Within random: B200 minus B50,Budget 200 minus budget 50 under random nested querying,10,-0.0024983257429507686,0.002262425883746735,-1.104268546827871,-0.0015715231854284695,-0.00736521992928274,-0.00022058059096818905,0,10,0,-0.003948554540585155,-0.0013037488623971472,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Recovery area,True,static_comparisons,Random B200 minus static,Random B200 marginal mean minus matched static baseline,10,0.49149931964450644,0.013058496633740748,37.63827747020762,0.4925978463385181,0.4706883273801807,0.5078110055607301,10,0,0,0.483636276931979,0.49892310556851555,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Recovery area,True,static_comparisons,Random B50 minus static,Random B50 marginal mean minus matched static baseline,10,0.4939976453874572,0.014857768518558329,33.2484413638846,0.4941614926960193,0.4719302904905807,0.5117964469195702,10,0,0,0.48524497503278124,0.5025097950880082,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Recovery area,True,static_comparisons,UD B200 minus static,UD B200 marginal mean minus matched static baseline,10,0.4912673535488672,0.012824840727109757,38.305922389383205,0.4932771479332142,0.4710545358284762,0.5063921198214814,10,0,0,0.48357696986068655,0.49857138566352666,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Recovery area,True,static_comparisons,UD B50 minus static,UD B50 marginal mean minus matched static baseline,10,-0.008777831690942262,0.0041404137845675116,-2.1200373072999885,-0.008497805191904378,-0.015461749385542012,-0.004067886896580997,0,10,0,-0.011278355711016872,-0.006423537434834826,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
